open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-16 01:00:00,84253.53,84277.03,83840.0,83869.31,457.47235,2025-03-16 01:59:59.999,38449598.6718688,61501,148.11204,12449512.0547324,0
2025-03-16 02:00:00,83869.32,84130.39,83733.86,83966.05,320.67384,2025-03-16 02:59:59.999,26906709.5942658,68538,145.11688,12178749.562846,0
2025-03-16 03:00:00,83966.05,84393.72,83906.26,84332.34,252.10048,2025-03-16 03:59:59.999,21214788.744337,44515,148.32944,12482534.9822491,0
2025-03-16 04:00:00,84332.35,84418.0,84245.98,84408.97,266.06424,2025-03-16 04:59:59.999,22444422.6837864,38614,185.16009,15620845.1490726,0
2025-03-16 05:00:00,84408.97,84411.85,84305.95,84395.31,207.70079,2025-03-16 05:59:59.999,17523012.2182399,27757,115.30931,9728603.9575717,0
2025-03-16 06:00:00,84395.31,84400.0,84228.0,84228.0,145.78217,2025-03-16 06:59:59.999,12292431.6165769,26216,52.0948,4392791.5737806,0
2025-03-16 07:00:00,84228.01,84373.64,83972.57,84273.96,345.16527,2025-03-16 07:59:59.999,29063850.3260499,50112,179.11849,15084410.9504559,0
2025-03-16 08:00:00,84273.95,84335.43,84162.83,84268.36,218.05774,2025-03-16 08:59:59.999,18369313.9274917,35700,123.10413,10369455.6910438,0
2025-03-16 09:00:00,84268.36,84271.03,83800.0,83897.02,456.91285,2025-03-16 09:59:59.999,38383208.4880214,67425,159.81288,13424594.9576692,0
2025-03-16 10:00:00,83897.02,84066.92,83649.04,83666.98,458.6363,2025-03-16 10:59:59.999,38434537.6153534,72795,196.45935,16469872.5301497,0
2025-03-16 11:00:00,83666.98,83691.61,82381.46,82410.02,1849.0388,2025-03-16 11:59:59.999,153202538.8513362,235410,686.35282,56848096.4159785,0
2025-03-16 12:00:00,82410.01,82931.41,82400.0,82755.89,1045.99634,2025-03-16 12:59:59.999,86462625.3044747,143815,583.84918,48264342.9637803,0
2025-03-16 13:00:00,82755.89,83151.81,82498.38,82596.1,1101.71905,2025-03-16 13:59:59.999,91245067.9927173,150921,510.75313,42315798.8739014,0
2025-03-16 14:00:00,82596.09,83385.97,82575.36,83373.16,862.87399,2025-03-16 14:59:59.999,71547110.2157221,143442,461.23847,38250198.4114331,0
2025-03-16 15:00:00,83373.15,83508.95,82981.14,83320.83,771.86427,2025-03-16 15:59:59.999,64267260.074258,139248,417.87283,34799903.8264704,0
2025-03-16 16:00:00,83320.83,85117.04,83293.42,83634.53,3344.71639,2025-03-16 16:59:59.999,282015006.2873966,398465,1820.13981,153548560.8971083,0
2025-03-16 17:00:00,83633.49,84118.56,83483.45,83913.22,905.46005,2025-03-16 17:59:59.999,75882850.6348497,158886,450.48668,37758580.5879351,0
2025-03-16 18:00:00,83913.22,84094.52,83633.14,83701.75,531.09149,2025-03-16 18:59:59.999,44534312.0644344,115550,245.93124,20625947.6840658,0
2025-03-16 19:00:00,83701.76,83727.28,82562.36,83098.47,1100.6719,2025-03-16 19:59:59.999,91441057.2740055,222580,451.51123,37500218.9936507,0
2025-03-16 20:00:00,83098.47,83453.01,82910.77,83216.98,547.08888,2025-03-16 20:59:59.999,45499346.3319522,109684,278.00051,23125609.2672048,0
2025-03-16 21:00:00,83216.99,83224.31,82688.82,82766.52,482.34007,2025-03-16 21:59:59.999,39988600.1011186,87407,229.94703,19060437.379274,0
2025-03-16 22:00:00,82766.51,82846.0,82090.7,82093.71,911.28605,2025-03-16 22:59:59.999,75082093.9666618,182613,370.12128,30492052.0575811,0
2025-03-16 23:00:00,82093.72,82632.0,81981.12,82574.53,829.66854,2025-03-16 23:59:59.999,68319362.818167,143648,455.72131,37541646.9501609,0
2025-03-17 00:00:00,82574.52,83156.5,82523.0,83054.91,514.41819,2025-03-17 00:59:59.999,42613862.5327788,100373,285.20946,23632416.0451299,0
2025-03-17 01:00:00,83054.9,83400.0,82825.55,83233.8,552.38898,2025-03-17 01:59:59.999,45910299.4215486,114762,271.85972,22600405.1453753,0
2025-03-17 02:00:00,83233.8,83375.35,82981.68,83212.51,364.65635,2025-03-17 02:59:59.999,30335904.1697655,83544,186.46359,15511343.9296714,0
2025-03-17 03:00:00,83212.51,83725.39,83212.5,83675.65,708.95371,2025-03-17 03:59:59.999,59208243.8875247,97295,379.8999,31725978.2739562,0
2025-03-17 04:00:00,83675.64,83869.77,83522.0,83615.53,468.72749,2025-03-17 04:59:59.999,39239509.1495917,75978,221.85057,18574938.2339206,0
2025-03-17 05:00:00,83615.53,83615.53,83120.0,83120.0,603.93675,2025-03-17 05:59:59.999,50311526.010963,80401,212.25427,17681293.6376332,0
2025-03-17 06:00:00,83120.01,83295.07,82682.62,83220.91,642.44701,2025-03-17 06:59:59.999,53370538.2956052,108501,256.31065,21289782.1396585,0
2025-03-17 07:00:00,83220.91,83636.36,83212.83,83567.87,721.46174,2025-03-17 07:59:59.999,60158350.860694,111403,397.16027,33118345.3481179,0
2025-03-17 08:00:00,83567.88,83719.39,83221.18,83547.17,511.92445,2025-03-17 08:59:59.999,42734627.9023655,83153,266.66276,22259651.9900975,0
2025-03-17 09:00:00,83547.16,83783.02,83431.09,83664.31,550.97551,2025-03-17 09:59:59.999,46076157.4205434,77190,302.0514,25265372.6818718,0
2025-03-17 10:00:00,83664.31,83687.17,83260.04,83344.34,424.06115,2025-03-17 10:59:59.999,35376077.6475554,78416,149.36999,12460861.1251399,0
2025-03-17 11:00:00,83344.34,83699.0,83220.11,83514.73,417.30684,2025-03-17 11:59:59.999,34857413.9281853,76722,237.42328,19836294.6741417,0
2025-03-17 12:00:00,83514.73,84000.0,83002.01,83052.0,1602.93914,2025-03-17 12:59:59.999,133695608.4271802,261354,788.64201,65797154.2079109,0
2025-03-17 13:00:00,83052.01,83735.84,82808.52,83023.38,1353.72595,2025-03-17 13:59:59.999,112670530.998073,269671,691.35114,57554820.6976189,0
2025-03-17 14:00:00,83023.37,83358.5,82456.0,82913.03,1546.82937,2025-03-17 14:59:59.999,128144324.3444336,297571,746.7713,61876218.1963445,0
2025-03-17 15:00:00,82913.03,83701.71,82706.58,83531.06,969.57355,2025-03-17 15:59:59.999,80783620.0585078,197632,548.7098,45705797.209012,0
2025-03-17 16:00:00,83531.07,83878.9,83103.6,83448.86,972.11069,2025-03-17 16:59:59.999,81194703.2005431,170634,485.64669,40579662.3311106,0
2025-03-17 17:00:00,83448.86,84336.89,83358.49,84197.46,1045.92714,2025-03-17 17:59:59.999,87882504.1375897,173669,559.53621,47019506.2330822,0
2025-03-17 18:00:00,84197.46,84585.0,83983.74,84496.58,1090.21429,2025-03-17 18:59:59.999,91925361.9792656,143428,464.23427,39163721.4642511,0
2025-03-17 19:00:00,84496.57,84756.83,84311.07,84482.55,725.81983,2025-03-17 19:59:59.999,61326826.7708869,132216,296.31488,25041018.9962014,0
2025-03-17 20:00:00,84482.55,84506.8,83846.15,83954.36,506.33404,2025-03-17 20:59:59.999,42585133.3909063,102938,199.31045,16759461.5870247,0
2025-03-17 21:00:00,83954.36,84251.86,83883.87,84077.8,377.45641,2025-03-17 21:59:59.999,31722236.7958,72431,204.33688,17174267.440088,0
2025-03-17 22:00:00,84077.8,84249.99,84000.02,84061.19,218.83761,2025-03-17 22:59:59.999,18410961.3946226,45568,96.60268,8126694.7305236,0
2025-03-17 23:00:00,84061.19,84140.98,83746.12,84010.03,323.71739,2025-03-17 23:59:59.999,27182491.321944,59906,139.91894,11750415.4698476,0
2025-03-18 00:00:00,84010.02,84021.74,83702.53,83790.24,280.13543,2025-03-18 00:59:59.999,23485018.4998483,66582,116.65055,9780752.0903276,0
2025-03-18 01:00:00,83790.24,83915.98,83015.39,83161.97,903.36529,2025-03-18 01:59:59.999,75244032.4849662,128235,355.17839,29585414.5872141,0
2025-03-18 02:00:00,83161.98,83532.61,83081.67,83367.64,445.46915,2025-03-18 02:59:59.999,37134346.88313,102311,257.68618,21481566.6283496,0
2025-03-18 03:00:00,83367.65,83367.65,82960.0,83147.6,598.19056,2025-03-18 03:59:59.999,49728331.5279582,96388,248.03144,20617158.9877802,0
2025-03-18 04:00:00,83147.6,83205.77,82838.8,82989.11,621.0049,2025-03-18 04:59:59.999,51591549.3009828,83188,278.20693,23112298.0597809,0
2025-03-18 05:00:00,82989.11,83128.1,82895.57,83010.87,743.9242,2025-03-18 05:59:59.999,61747207.5952635,66368,227.61232,18894788.0744209,0
2025-03-18 06:00:00,83010.86,83019.4,82244.68,82450.01,1234.9382,2025-03-18 06:59:59.999,101943950.611834,132856,445.55922,36776013.4574584,0
2025-03-18 07:00:00,82450.02,83280.0,82358.69,83163.81,1191.95624,2025-03-18 07:59:59.999,98912592.8254272,183004,660.63826,54812983.4869364,0
2025-03-18 08:00:00,83163.81,83452.3,83048.71,83281.29,526.74962,2025-03-18 08:59:59.999,43860944.0702911,91244,249.36594,20766068.8824357,0
2025-03-18 09:00:00,83281.29,83349.06,82780.0,82840.51,458.74305,2025-03-18 09:59:59.999,38117174.6757002,83993,154.54685,12842160.6705666,0
2025-03-18 10:00:00,82840.5,82942.1,82596.85,82819.65,479.85282,2025-03-18 10:59:59.999,39712511.9581173,97887,249.0646,20613767.319649,0
2025-03-18 11:00:00,82819.65,82861.76,82500.0,82581.1,394.26285,2025-03-18 11:59:59.999,32595227.0830205,72793,198.86764,16441397.4959741,0
2025-03-18 12:00:00,82581.09,82821.6,82330.38,82404.66,658.78879,2025-03-18 12:59:59.999,54384255.0628555,96467,280.31786,23141021.7803265,0
2025-03-18 13:00:00,82404.65,82480.47,81134.66,81366.64,2072.84164,2025-03-18 13:59:59.999,169421813.5544767,311989,924.64155,75569776.8279516,0
2025-03-18 14:00:00,81365.78,81978.86,81150.28,81854.71,1493.47462,2025-03-18 14:59:59.999,121755729.8129392,289868,790.89105,64513847.7901213,0
2025-03-18 15:00:00,81854.72,82212.93,81537.02,81610.21,1017.77265,2025-03-18 15:59:59.999,83266603.3619631,220716,611.91358,50074739.3715893,0
2025-03-18 16:00:00,81610.22,82160.49,81547.22,81851.51,678.82544,2025-03-18 16:59:59.999,55518773.970549,182447,308.92327,25266904.1255482,0
2025-03-18 17:00:00,81851.52,81975.8,81332.58,81466.7,894.91848,2025-03-18 17:59:59.999,73071046.7260669,186334,279.45343,22814109.4371006,0
2025-03-18 18:00:00,81466.69,81950.8,81245.65,81889.38,568.60084,2025-03-18 18:59:59.999,46390351.3740043,158098,307.54994,25087639.2127531,0
2025-03-18 19:00:00,81889.38,82476.26,81762.45,82317.21,898.10914,2025-03-18 19:59:59.999,73696936.3606677,154426,430.81021,35364938.4641208,0
2025-03-18 20:00:00,82317.2,82353.8,81870.23,82050.0,438.19738,2025-03-18 20:59:59.999,35976222.1066305,87441,160.43641,13171853.3685751,0
2025-03-18 21:00:00,82050.0,82208.9,81934.76,82062.98,250.73575,2025-03-18 21:59:59.999,20578224.4016469,49923,119.21723,9785719.5189803,0
