rank,feature_name,importance_gain,feature,importance_pct
1,bb_upper,5382.0712890625,bb_upper,35.27480681435048
2,price_change_pct,5276.87255859375,price_change_pct,34.58532042610041
3,macd_signal,2240.2431640625,macd_signal,14.682849889050637
4,sma_5,2003.912353515625,sma_5,13.133906510455587
5,macd,55.23255920410156,macd,0.3620014955480521
6,open,48.320037841796875,open,0.31669591660655827
7,high,29.688087463378906,high,0.1945796504194298
8,ema_12,27.4296875,ema_12,0.17977779846707412
9,sma_10,22.9287109375,sma_10,0.15027780298378074
10,atr_14,21.218355178833008,atr_14,0.1390679052082908
11,bb_lower,20.142189025878906,bb_lower,0.13201456995746563
12,roc_20,15.628758430480957,roc_20,0.10243294909596003
13,bb_std,15.225564956665039,bb_std,0.099790365760699
14,ema_10,13.39453125,ema_10,0.08778952875870082
15,rsi_14,11.804492950439453,rsi_14,0.07736820751786185
16,roc_5,11.534284591674805,roc_5,0.0755972262091572
17,bb_middle,9.691659927368164,bb_middle,0.06352042053828764
18,stoch_d,8.82202434539795,stoch_d,0.057820713955949156
19,macd_hist,7.395957946777344,macd_hist,0.04847408623327162
20,sma_20,6.232614517211914,sma_20,0.04084937958546862
21,sma_100,5.1515350341796875,sma_100,0.03376384171969978
22,future_price,4.812451362609863,future_price,0.031541442504580935
23,close,4.808859825134277,close,0.03151790309311397
24,stoch_k,4.490210056304932,stoch_k,0.029429430378206733
25,volume,3.7217228412628174,volume,0.024392663565957623
26,roc_10,3.0599844455718994,roc_10,0.020055542629437775
27,low,1.1345545053482056,low,0.007436020232180941
28,sma_50,0.8714179992675781,sma_50,0.005711388780966156
29,ema_100,0.860748291015625,ema_100,0.005641458102396737
30,ema_5,0.849639892578125,ema_5,0.0055686521903502055
31,open,0.0,f0,0.0
32,high,0.0,f1,0.0
33,low,0.0,f2,0.0
34,close,0.0,f3,0.0
35,volume,0.0,f4,0.0
36,sma_5,0.0,f5,0.0
37,sma_10,0.0,f6,0.0
38,sma_20,0.0,f7,0.0
39,sma_50,0.0,f8,0.0
40,sma_100,0.0,f9,0.0
41,ema_5,0.0,f10,0.0
42,ema_10,0.0,f11,0.0
43,ema_20,0.0,f12,0.0
44,ema_50,0.0,f13,0.0
45,ema_100,0.0,f14,0.0
46,rsi_14,0.0,f15,0.0
47,ema_12,0.0,f16,0.0
48,ema_26,0.0,f17,0.0
49,macd,0.0,f18,0.0
50,macd_signal,0.0,f19,0.0
51,macd_hist,0.0,f20,0.0
52,bb_middle,0.0,f21,0.0
53,bb_std,0.0,f22,0.0
54,bb_upper,0.0,f23,0.0
55,bb_lower,0.0,f24,0.0
56,atr_14,0.0,f25,0.0
57,roc_5,0.0,f26,0.0
58,roc_10,0.0,f27,0.0
59,roc_20,0.0,f28,0.0
60,stoch_k,0.0,f29,0.0
61,stoch_d,0.0,f30,0.0
62,future_price,0.0,f31,0.0
63,price_change_pct,0.0,f32,0.0
