rank,feature_name,importance_weight,feature,importance_pct
1,price_change_pct,711.0,price_change_pct,35.23290386521308
2,macd_signal,199.0,macd_signal,9.861248761149653
3,roc_5,129.0,roc_5,6.392467789890981
4,bb_upper,126.0,bb_upper,6.2438057482656095
5,roc_20,104.0,roc_20,5.153617443012884
6,open,94.0,open,4.658077304261645
7,macd,85.0,macd,4.2120911793855305
8,bb_std,75.0,bb_std,3.7165510406342914
9,volume,72.0,volume,3.5678889990089195
10,rsi_14,60.0,rsi_14,2.973240832507433
11,stoch_k,56.0,stoch_k,2.7750247770069376
12,future_price,55.0,future_price,2.725470763131814
13,sma_20,49.0,sma_20,2.4281466798810705
14,bb_lower,40.0,bb_lower,1.9821605550049552
15,sma_5,37.0,sma_5,1.8334985133795838
16,stoch_d,31.0,stoch_d,1.5361744301288405
17,macd_hist,17.0,macd_hist,0.8424182358771061
18,atr_14,15.0,atr_14,0.7433102081268582
19,roc_10,13.0,roc_10,0.6442021803766105
20,ema_10,10.0,ema_10,0.4955401387512388
21,close,9.0,close,0.44598612487611494
22,sma_100,8.0,sma_100,0.39643211100099107
23,sma_10,6.0,sma_10,0.29732408325074333
24,bb_middle,6.0,bb_middle,0.29732408325074333
25,high,4.0,high,0.19821605550049554
26,low,2.0,low,0.09910802775024777
27,sma_50,2.0,sma_50,0.09910802775024777
28,ema_12,1.0,ema_12,0.049554013875123884
29,ema_100,1.0,ema_100,0.049554013875123884
30,ema_5,1.0,ema_5,0.049554013875123884
31,open,0.0,f0,0.0
32,high,0.0,f1,0.0
33,low,0.0,f2,0.0
34,close,0.0,f3,0.0
35,volume,0.0,f4,0.0
36,sma_5,0.0,f5,0.0
37,sma_10,0.0,f6,0.0
38,sma_20,0.0,f7,0.0
39,sma_50,0.0,f8,0.0
40,sma_100,0.0,f9,0.0
41,ema_5,0.0,f10,0.0
42,ema_10,0.0,f11,0.0
43,ema_20,0.0,f12,0.0
44,ema_50,0.0,f13,0.0
45,ema_100,0.0,f14,0.0
46,rsi_14,0.0,f15,0.0
47,ema_12,0.0,f16,0.0
48,ema_26,0.0,f17,0.0
49,macd,0.0,f18,0.0
50,macd_signal,0.0,f19,0.0
51,macd_hist,0.0,f20,0.0
52,bb_middle,0.0,f21,0.0
53,bb_std,0.0,f22,0.0
54,bb_upper,0.0,f23,0.0
55,bb_lower,0.0,f24,0.0
56,atr_14,0.0,f25,0.0
57,roc_5,0.0,f26,0.0
58,roc_10,0.0,f27,0.0
59,roc_20,0.0,f28,0.0
60,stoch_k,0.0,f29,0.0
61,stoch_d,0.0,f30,0.0
62,future_price,0.0,f31,0.0
63,price_change_pct,0.0,f32,0.0
